"Index","GDAXI.Close"
"2010-01-04",6048.299805
"2010-01-05",6031.859863
"2010-01-06",6034.330078
"2010-01-07",6019.359863
"2010-01-08",6037.609863
"2010-01-11",6040.5
"2010-01-12",5943
"2010-01-13",5963.140137
"2010-01-14",5988.879883
"2010-01-15",5875.970215
"2010-01-18",5918.549805
"2010-01-19",5976.47998
"2010-01-20",5851.529785
"2010-01-21",5746.970215
"2010-01-22",5695.319824
"2010-01-25",5631.370117
"2010-01-26",5668.930176
"2010-01-27",5643.200195
"2010-01-28",5540.330078
"2010-01-29",5608.790039
"2010-02-01",5654.47998
"2010-02-02",5709.660156
"2010-02-03",5672.089844
"2010-02-04",5533.240234
"2010-02-05",5434.339844
"2010-02-08",5484.850098
"2010-02-09",5498.259766
"2010-02-10",5536.370117
"2010-02-11",5503.930176
"2010-02-12",5500.390137
"2010-02-15",5511.100098
"2010-02-16",5592.120117
"2010-02-17",5648.339844
"2010-02-18",5680.410156
"2010-02-19",5722.049805
"2010-02-22",5688.439941
"2010-02-23",5604.069824
"2010-02-24",5615.509766
"2010-02-25",5532.330078
"2010-02-26",5598.459961
"2010-03-01",5713.509766
"2010-03-02",5776.560059
"2010-03-03",5817.879883
"2010-03-04",5795.319824
"2010-03-05",5877.359863
"2010-03-08",5875.910156
"2010-03-09",5885.890137
"2010-03-10",5936.720215
"2010-03-11",5928.629883
"2010-03-12",5945.109863
"2010-03-15",5903.560059
"2010-03-16",5970.990234
"2010-03-17",6024.279785
"2010-03-18",6012.310059
"2010-03-19",5982.430176
"2010-03-22",5987.5
"2010-03-23",6017.27002
"2010-03-24",6039
"2010-03-25",6132.950195
"2010-03-26",6120.049805
"2010-03-29",6156.850098
"2010-03-30",6142.450195
"2010-03-31",6153.549805
"2010-04-01",6235.560059
"2010-04-06",6252.209961
"2010-04-07",6222.410156
"2010-04-08",6171.830078
"2010-04-09",6249.700195
"2010-04-12",6250.689941
"2010-04-13",6230.830078
"2010-04-14",6278.399902
"2010-04-15",6291.450195
"2010-04-16",6180.899902
"2010-04-19",6162.439941
"2010-04-20",6264.22998
"2010-04-21",6230.379883
"2010-04-22",6168.720215
"2010-04-23",6259.529785
"2010-04-26",6332.100098
"2010-04-27",6159.509766
"2010-04-28",6084.339844
"2010-04-29",6144.910156
"2010-04-30",6135.700195
"2010-05-03",6166.919922
"2010-05-04",6006.859863
"2010-05-05",5958.450195
"2010-05-06",5908.259766
"2010-05-07",5715.089844
"2010-05-10",6017.910156
"2010-05-11",6037.709961
"2010-05-12",6183.490234
"2010-05-13",6251.970215
"2010-05-14",6056.709961
"2010-05-17",6066.919922
"2010-05-18",6155.930176
"2010-05-19",5988.669922
"2010-05-20",5867.879883
"2010-05-21",5829.25
"2010-05-24",5805.680176
"2010-05-25",5670.040039
"2010-05-26",5758.02002
"2010-05-27",5937.140137
"2010-05-28",5946.180176
"2010-05-31",5964.330078
"2010-06-01",5981.27002
"2010-06-02",5981.200195
"2010-06-03",6054.629883
"2010-06-04",5938.879883
"2010-06-07",5904.950195
"2010-06-08",5868.549805
"2010-06-09",5984.75
"2010-06-10",6056.589844
"2010-06-11",6047.830078
"2010-06-14",6125
"2010-06-15",6175.049805
"2010-06-16",6190.910156
"2010-06-17",6223.540039
"2010-06-18",6216.97998
"2010-06-21",6292.970215
"2010-06-22",6269.040039
"2010-06-23",6204.52002
"2010-06-24",6115.47998
"2010-06-25",6070.600098
"2010-06-28",6157.220215
"2010-06-29",5952.029785
"2010-06-30",5965.52002
"2010-07-01",5857.430176
